sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1123,History of pneumonia,0,,0.71,UNCHECKED,UNREVIEWED,,0,45882868,Pneumonia,Meas Value,MAPS_TO,,<auto>,1751446419592,
1035,Tertiary,0,,1.00,UNCHECKED,UNREVIEWED,,0,4225752,Tertiary,Meas Value,MAPS_TO,,<auto>,1751446474361,
967,Stop all,0,,0.56,UNCHECKED,UNREVIEWED,,0,4262328,Stop time,Meas Value,MAPS_TO,,<auto>,1751446459796,
515,Adhesive tape,0,,1.00,UNCHECKED,UNREVIEWED,,0,4225586,Adhesive tape,Device,MAPS_TO,,<auto>,1751446462737,
819,Refusal to feed,0,,0.80,UNCHECKED,UNREVIEWED,,0,4119823,Refusal of feeds in infant,Observation,MAPS_TO,,<auto>,1751446419603,
1587,Salbutamol & Iprotopium bromide,0,,0.52,UNCHECKED,UNREVIEWED,,0,4193261,Positive reversibility test to a combination of salbutamol and ipratropium bromide,Condition,MAPS_TO,,<auto>,1751446419525,
673,Formulary substitution,0,,1.00,UNCHECKED,UNREVIEWED,,0,44790355,Change to formulary medication,Procedure,MAPS_TO,,<auto>,1751446419610,
1353,Methotrexate,0,,1.00,UNCHECKED,UNREVIEWED,,0,45883504,Methotrexate,Meas Value,MAPS_TO,,<auto>,1751446495885,
511,Fish,0,,1.00,UNCHECKED,UNREVIEWED,,0,42539493,Fish,Observation,MAPS_TO,,<auto>,1751446495971,
334,Varicella,0,,1.00,UNCHECKED,UNREVIEWED,,0,434272,Varicella,Condition,MAPS_TO,,<auto>,1751446474712,
629,Twice daily,0,,1.00,UNCHECKED,UNREVIEWED,,0,4044571,Twice a day,Meas Value,MAPS_TO,,<auto>,1751446419823,
1140,Acute Alcoholic Liver Disease,0,,1.00,UNCHECKED,UNREVIEWED,,0,201343,Acute alcoholic liver disease,Condition,MAPS_TO,,<auto>,1751446458159,
1087,Convalescence,0,,1.00,UNCHECKED,UNREVIEWED,,0,4022071,Convalescence,Observation,MAPS_TO,,<auto>,1751446420034,
960,Sinusitis,0,,1.00,UNCHECKED,UNREVIEWED,,0,4283893,Sinusitis,Condition,MAPS_TO,,<auto>,1751446496341,
704,Internal transfer location (text/code),0,,0.45,UNCHECKED,UNREVIEWED,,0,37018400,Able to transfer location,Observation,MAPS_TO,,<auto>,1751446420251,
974,Micronutrient support,0,,0.67,UNCHECKED,UNREVIEWED,,0,4132896,Nutritional support,Observation,MAPS_TO,,<auto>,1751446460468,
1711,On Antiretrovirals Treatment,0,,0.65,UNCHECKED,UNREVIEWED,,0,35625641,Antiretroviral,Observation,MAPS_TO,,<auto>,1751446434976,
981,Swelling of Inguinal Region,0,,1.00,UNCHECKED,UNREVIEWED,,0,4166124,Swelling of inguinal region,Condition,MAPS_TO,,<auto>,1751446463718,
1436,Gamma-Hexachlorocyclohexane,0,,0.68,UNCHECKED,UNREVIEWED,,0,4006199,gamma-Benzene hexachloride measurement,Measurement,MAPS_TO,,<auto>,1751446458681,
633,Traumatic injury,0,,1.00,UNCHECKED,UNREVIEWED,,0,45883288,Traumatic injury,Meas Value,MAPS_TO,,<auto>,1751446420363,
3,ATT DEFAULT ATTACHMENT,0,,0.65,UNCHECKED,UNREVIEWED,,0,4031047,Fixation,Procedure,MAPS_TO,,<auto>,1751446420735,
1568,Aluminum & Magnesium hydroxide & Simethicone,0,,0.65,UNCHECKED,UNREVIEWED,,0,40135214,aluminum hydroxide / magnesium hydroxide / simethicone Oral Capsule,Drug,MAPS_TO,,<auto>,1751446420877,
153,Ammonium urate crystals in urine,0,,0.90,UNCHECKED,UNREVIEWED,,0,45880360,Ammonium urate crystals,Meas Value,MAPS_TO,,<auto>,1751446420849,
1143,Skin exam findings,0,,0.73,UNCHECKED,UNREVIEWED,,0,36305536,Placenta examination findings Document,Measurement,MAPS_TO,,<auto>,1751446496816,
438,In left ear,0,,0.90,UNCHECKED,UNREVIEWED,,0,45884757,Left ear,Meas Value,MAPS_TO,,<auto>,1751446420708,
1182,Infiltrate,0,,1.00,UNCHECKED,UNREVIEWED,,0,4264333,Infiltration,Observation,MAPS_TO,,<auto>,1751446464133,
817,Delayed milestones,0,,0.98,UNCHECKED,UNREVIEWED,,0,436233,Delayed milestone,Observation,MAPS_TO,,<auto>,1751446461275,
1647,Etomidate,0,,1.00,UNCHECKED,UNREVIEWED,,0,19050488,etomidate,Drug,MAPS_TO,,<auto>,1751446421051,
1011,Tuberculosis Visit,0,,0.82,UNCHECKED,UNREVIEWED,,0,45878277,Tuberculosis,Meas Value,MAPS_TO,,<auto>,1751446459189,
1254,Amphotericin B,0,,1.00,UNCHECKED,UNREVIEWED,,0,1717240,amphotericin B,Drug,MAPS_TO,,<auto>,1751446420891,
610,Every three hours,0,,1.00,UNCHECKED,UNREVIEWED,,0,4023339,Every three hours,Meas Value,MAPS_TO,,<auto>,1751446421406,
889,Painful Mouth,0,,1.00,UNCHECKED,UNREVIEWED,,0,4010025,Painful mouth,Condition,MAPS_TO,,<auto>,1751446421060,
958,Recently traveled outside of home town,0,,0.45,UNCHECKED,UNREVIEWED,,0,1761419,Feel respected outside home,Observation,MAPS_TO,,<auto>,1751446476188,
831,"Edema, legs",0,,0.58,UNCHECKED,UNREVIEWED,,0,3964862,Legs,Observation,MAPS_TO,,<auto>,1751446461662,
1735,Polyarthropathy or Polyarthritis (M15.9),0,,0.53,UNCHECKED,UNREVIEWED,,0,75897,Polyarthropathy,Condition,MAPS_TO,,<auto>,1751446436053,
256,Weeks,0,,1.00,UNCHECKED,UNREVIEWED,,0,36308390,Weeks,Meas Value,MAPS_TO,,<auto>,1751446420998,
1612,Didanosine (DDI),0,,0.51,UNCHECKED,UNREVIEWED,,0,1724869,didanosine,Drug,MAPS_TO,,<auto>,1751446464678,
254,Intermittent preventive treatment in pregnancy with sulphadoxine-pyrimethamine,0,,0.49,UNCHECKED,UNREVIEWED,,0,765481,Adverse reaction to sulfadoxine and pyrimethamine,Observation,MAPS_TO,,<auto>,1751446421684,
453,Patch,0,,1.00,UNCHECKED,UNREVIEWED,,0,46237520,Patch,Meas Value,MAPS_TO,,<auto>,1751446464853,
1340,Ketamine,0,,1.00,UNCHECKED,UNREVIEWED,,0,36309197,Ketamine,Meas Value,MAPS_TO,,<auto>,1751446421398,
5,Tetracycline,0,,1.00,UNCHECKED,UNREVIEWED,,0,1836948,tetracycline,Drug,MAPS_TO,,<auto>,1751446421877,
329,Antenatal services,0,,0.72,UNCHECKED,UNREVIEWED,,0,3654999,Neonatal service,Observation,MAPS_TO,,<auto>,1751446421872,
1006,Emergency contraceptive pills,0,,0.82,UNCHECKED,UNREVIEWED,,0,36210172,Emergency contraception,Meas Value,MAPS_TO,,<auto>,1751446421915,
1794,Session Notes,0,,0.53,UNCHECKED,UNREVIEWED,,0,4300172,Chest percussion normal,Observation,MAPS_TO,,<auto>,1751446421490,
1608,Rifampicin & Isoniazide & Pyrazinamide,0,,0.60,UNCHECKED,UNREVIEWED,,0,40050296,isoniazid / pyrazinamide / rifampin Oral Tablet,Drug,MAPS_TO,,<auto>,1751446497790,
1689,Glucosamine & Chondroitin,0,,0.53,UNCHECKED,UNREVIEWED,,0,40131393,chondroitin sulfates / glucosamine Oral Tablet,Drug,MAPS_TO,,<auto>,1751446460186,
449,Scoopful,0,,0.57,UNCHECKED,UNREVIEWED,,0,41979902,Pfullingen,Geography,MAPS_TO,,<auto>,1751446498000,
1478,Erythromycin estolate,0,,0.85,UNCHECKED,UNREVIEWED,,0,1746940,erythromycin,Drug,MAPS_TO,,<auto>,1751446436728,
807,Lymphadenopathy,0,,1.00,UNCHECKED,UNREVIEWED,,0,315085,Lymphadenopathy,Condition,MAPS_TO,,<auto>,1751446422239,
751,Excessive Sweating,0,,1.00,UNCHECKED,UNREVIEWED,,0,4203638,Excessive sweating,Condition,MAPS_TO,,<auto>,1751446465405,
106,One plus,0,,0.63,UNCHECKED,UNREVIEWED,,0,4271865,Bone plug,Device,MAPS_TO,,<auto>,1751446421895,
1009,Chief complaint (text),0,,0.70,UNCHECKED,UNREVIEWED,,0,37158808,Chief complaint,Observation,MAPS_TO,,<auto>,1751446422035,
403,Death of unknown cause,0,,1.00,UNCHECKED,UNREVIEWED,,0,441413,Death of unknown cause,Observation,MAPS_TO,,<auto>,1751446422608,
1314,Fluoxetine,0,,1.00,UNCHECKED,UNREVIEWED,,0,755695,fluoxetine,Drug,MAPS_TO,,<auto>,1751446422607,
921,Quadriceps muscle wasting,0,,0.75,UNCHECKED,UNREVIEWED,,0,36714090,Atrophy of quadriceps femoris muscle,Condition,MAPS_TO,,<auto>,1751446422663,
1371,Oral Hormonal Contraceptive Pills,0,,0.78,UNCHECKED,UNREVIEWED,,0,45880464,Oral contraceptive pill,Meas Value,MAPS_TO,,<auto>,1751446477661,
892,Follow-up need status,0,,0.84,UNCHECKED,UNREVIEWED,,0,4203711,Follow-up status,Observation,MAPS_TO,,<auto>,1751446460930,
1508,Metoprolol,0,,1.00,UNCHECKED,UNREVIEWED,,0,1307046,metoprolol,Drug,MAPS_TO,,<auto>,1751446422213,
738,Date of last menstrual period,0,,1.00,UNCHECKED,UNREVIEWED,,0,4072438,Date of last menstrual period,Measurement,MAPS_TO,,<auto>,1751446422990,
1131,Foreign body in eye,0,,1.00,UNCHECKED,UNREVIEWED,,0,765578,Foreign body in eye,Condition,MAPS_TO,,<auto>,1751446423230,
1188,"CT scan, chest",0,,0.57,UNCHECKED,UNREVIEWED,,0,36310704,CT scan,Meas Value,MAPS_TO,,<auto>,1751446423239,
1279,Chlorhexidine Gluconate,0,,0.86,UNCHECKED,UNREVIEWED,,0,19133971,chlorhexidine gluconate 1 MG/ML,Drug,MAPS_TO,,<auto>,1751446466232,
1593,Neomycin & Bacitracin,0,,0.55,UNCHECKED,UNREVIEWED,,0,915981,neomycin,Drug,MAPS_TO,,<auto>,1751446422758,
1567,Sodium bicarbonate,0,,1.00,UNCHECKED,UNREVIEWED,,0,939506,sodium bicarbonate,Drug,MAPS_TO,,<auto>,1751446423228,
641,Finished Service,0,,0.63,UNCHECKED,UNREVIEWED,,0,4053347,Decreased,Meas Value,MAPS_TO,,<auto>,1751446478221,
400,Tuberculosis,0,,1.00,UNCHECKED,UNREVIEWED,,0,45878277,Tuberculosis,Meas Value,MAPS_TO,,<auto>,1751446422637,
1356,Metronidazole & Diloxanide,0,,0.64,UNCHECKED,UNREVIEWED,,0,40034595,diloxanide / metronidazole Oral Tablet,Drug,MAPS_TO,,<auto>,1751446461791,
1235,Rifampicin,0,,1.00,UNCHECKED,UNREVIEWED,,0,1763204,rifampin,Drug,MAPS_TO,,<auto>,1751446423578,
747,Dysfunctional Uterine Bleeding,0,,1.00,UNCHECKED,UNREVIEWED,,0,45757810,Abnormal uterine bleeding,Condition,MAPS_TO,,<auto>,1751446499284,
82,Calcium sulfate,0,,1.00,UNCHECKED,UNREVIEWED,,0,19037446,calcium sulfate,Drug,MAPS_TO,,<auto>,1751446423524,
514,Beef,0,,1.00,UNCHECKED,UNREVIEWED,,0,4037235,Beef,Observation,MAPS_TO,,<auto>,1751446461920,
722,Implantable contraceptive (unspecified type),0,,0.53,UNCHECKED,UNREVIEWED,,0,45882759,Arm (unspecified),Meas Value,MAPS_TO,,<auto>,1751446463612,
609,Every four hours,0,,1.00,UNCHECKED,UNREVIEWED,,0,4021636,Every four hours,Meas Value,MAPS_TO,,<auto>,1751446423648,
1063,Vaginal Pain,0,,1.00,UNCHECKED,UNREVIEWED,,0,4244072,Vaginal pain,Condition,MAPS_TO,,<auto>,1751446478825,
288,Not billable,0,,0.45,UNCHECKED,UNREVIEWED,,0,45884396,Not available,Meas Value,MAPS_TO,,<auto>,1751446466735,
1431,Calcium Carbonate,0,,1.00,UNCHECKED,UNREVIEWED,,0,19035704,calcium carbonate,Drug,MAPS_TO,,<auto>,1751446423876,
191,Yellow color,0,,1.00,UNCHECKED,UNREVIEWED,,0,4153953,Yellow color,Meas Value,MAPS_TO,,<auto>,1751446423939,
1275,Ceftazidime,0,,1.00,UNCHECKED,UNREVIEWED,,0,1776684,ceftazidime,Drug,MAPS_TO,,<auto>,1751446499560,
25,Detected,0,,1.00,UNCHECKED,UNREVIEWED,,0,45877985,Detected,Meas Value,MAPS_TO,,<auto>,1751446463893,
1128,Abnormal Posture,0,,1.00,UNCHECKED,UNREVIEWED,,0,439935,Abnormal posture,Condition,MAPS_TO,,<auto>,1751446423313,
368,Acute Gastric Ulcer without Hemorrhage or Perforation,0,,0.94,UNCHECKED,UNREVIEWED,,0,4195231,Acute gastric ulcer without hemorrhage AND without perforation,Condition,MAPS_TO,,<auto>,1751446438656,
980,Swallowing painful,0,,1.00,UNCHECKED,UNREVIEWED,,0,4147218,Swallowing painful,Condition,MAPS_TO,,<auto>,1751446462487,
281,Airtel Money,0,,0.56,UNCHECKED,UNREVIEWED,,0,42048171,Money,Geography,MAPS_TO,,<auto>,1751446499937,
1626,Johnson & Johnson Covid 19 Vaccine,0,,0.49,UNCHECKED,UNREVIEWED,,0,42079433,Johnson,Geography,MAPS_TO,,<auto>,1751446479652,
953,Mild to moderate,0,,1.00,UNCHECKED,UNREVIEWED,,0,45876873,Mild to moderate,Meas Value,MAPS_TO,,<auto>,1751446424477,
669,SubstanceAdminSubstitutionReason,0,,0.54,UNCHECKED,UNREVIEWED,,0,45880312,Substitution,Meas Value,MAPS_TO,,<auto>,1751446424408,
1532,Bupivacaine spinal heavy,0,,0.70,UNCHECKED,UNREVIEWED,,0,732893,bupivacaine,Drug,MAPS_TO,,<auto>,1751446467522,
1528,Vecuronium,0,,1.00,UNCHECKED,UNREVIEWED,,0,19012598,vecuronium,Drug,MAPS_TO,,<auto>,1751446500346,
525,ARBs (angiotensin II receptor blockers),0,,0.57,UNCHECKED,UNREVIEWED,,0,42536050,Angiotensin II receptor antagonist,Observation,MAPS_TO,,<auto>,1751446424130,
557,Allergy to Seafood,0,,0.71,UNCHECKED,UNREVIEWED,,0,4185721,Seafood,Observation,MAPS_TO,,<auto>,1751446464529,
1228,Meningococcal vaccination,0,,0.84,UNCHECKED,UNREVIEWED,,0,3656357,Meningococcal vaccination declined,Observation,MAPS_TO,,<auto>,1751446424713,
540,Anaemia,0,,1.00,UNCHECKED,UNREVIEWED,,0,439777,Anemia,Condition,MAPS_TO,,<auto>,1751446424681,
580,Contrast Media Allergy,0,,0.72,UNCHECKED,UNREVIEWED,,0,45885152,Contrast media,Meas Value,MAPS_TO,,<auto>,1751446424998,
1223,"Immunization, non-coded",0,,0.63,UNCHECKED,UNREVIEWED,,0,706380,Immunization,Meas Value,MAPS_TO,,<auto>,1751446439354,
467,Container,0,,1.00,UNCHECKED,UNREVIEWED,,0,45768321,Container,Device,MAPS_TO,,<auto>,1751446480065,
1428,Multi-Vitamin Prenatal,0,,0.38,UNCHECKED,UNREVIEWED,,0,4313474,Prenatal visit,Observation,MAPS_TO,,<auto>,1751446424166,
920,Swelling,0,,1.00,UNCHECKED,UNREVIEWED,,0,46237091,Swelling,Meas Value,MAPS_TO,,<auto>,1751446424990,
1181,Diffuse non-miliary changes,0,,0.44,UNCHECKED,UNREVIEWED,,0,4082331,Diffuse melanosis of meninges,Condition,MAPS_TO,,<auto>,1751446463331,
828,Productive cough,0,,1.00,UNCHECKED,UNREVIEWED,,0,4102774,Productive cough,Condition,MAPS_TO,,<auto>,1751446501004,
866,Nostril flaring,0,,0.63,UNCHECKED,UNREVIEWED,,0,4075758,Structure of anterior naris,Spec Anatomic Site,MAPS_TO,,<auto>,1751446468196,
776,HIV positive,0,,1.00,UNCHECKED,UNREVIEWED,,0,4013106,HIV detected,Condition,MAPS_TO,,<auto>,1751446480491,
1172,Burning Pain,0,,1.00,UNCHECKED,UNREVIEWED,,0,4264107,Burning pain,Condition,MAPS_TO,,<auto>,1751446425028,
1684,Dequalinium & Lidocaine,0,,0.57,UNCHECKED,UNREVIEWED,,0,19016063,dequalinium,Drug,MAPS_TO,,<auto>,1751446425076,
1398,Ranitidine,0,,1.00,UNCHECKED,UNREVIEWED,,0,961047,ranitidine,Drug,MAPS_TO,,<auto>,1751446439874,
730,Chronic Kidney Disease,0,,1.00,UNCHECKED,UNREVIEWED,,0,46271022,Chronic kidney disease,Condition,MAPS_TO,,<auto>,1751446424820,
1758,Interscalene Block,0,,1.00,UNCHECKED,UNREVIEWED,,0,4333843,Brachial plexus block by interscalene approach,Procedure,MAPS_TO,,<auto>,1751446425732,
250,HIV Test,0,,0.61,UNCHECKED,UNREVIEWED,,0,4136494,HIV antigen test,Measurement,MAPS_TO,,<auto>,1751446501424,
1293,Co-trimoxazole,0,,0.72,UNCHECKED,UNREVIEWED,,0,3044712,Degree of adherence to co-trimoxazole,Observation,MAPS_TO,,<auto>,1751446480911,
1186,Ultrasound of chest,0,,0.81,UNCHECKED,UNREVIEWED,,0,37209046,PoC (point of care) ultrasonography of thorax,Procedure,MAPS_TO,,<auto>,1751446425692,
948,Problem resolved with sequela,0,,0.72,UNCHECKED,UNREVIEWED,,0,4137055,Problem resolved,Observation,MAPS_TO,,<auto>,1751446425040,
1611,Atazanavir & Ritonavir,0,,0.63,UNCHECKED,UNREVIEWED,,0,1727223,atazanavir,Drug,MAPS_TO,,<auto>,1751446463842,
1260,Atorvastatin,0,,1.00,UNCHECKED,UNREVIEWED,,0,1545958,atorvastatin,Drug,MAPS_TO,,<auto>,1751446425355,
688,Completed,0,,1.00,UNCHECKED,UNREVIEWED,,0,45879244,Completed,Meas Value,MAPS_TO,,<auto>,1751446501858,
452,Pint,0,,0.86,UNCHECKED,UNREVIEWED,,0,41954729,Pin,Geography,MAPS_TO,,<auto>,1751446464105,
1234,Isoniazid,0,,1.00,UNCHECKED,UNREVIEWED,,0,1782521,isoniazid,Drug,MAPS_TO,,<auto>,1751446425994,
1189,12-lead electrocardiogram,0,,0.66,UNCHECKED,UNREVIEWED,,0,4145308,12 lead ECG,Procedure,MAPS_TO,,<auto>,1751446468972,
264,Pharmacy,0,,1.00,UNCHECKED,UNREVIEWED,,0,45878573,Pharmacy,Meas Value,MAPS_TO,,<auto>,1751446425690,
863,Method of family planning,0,,0.80,UNCHECKED,UNREVIEWED,,0,44804204,Family planning,Observation,MAPS_TO,,<auto>,1751446425976,
308,Orthopedic service,0,,1.00,UNCHECKED,UNREVIEWED,,0,4150872,Orthopedic service,Observation,MAPS_TO,,<auto>,1751446481575,
19,Acetaminophen,0,,1.00,UNCHECKED,UNREVIEWED,,0,45876821,Acetaminophen,Meas Value,MAPS_TO,,<auto>,1751446502351,
165,Black color,0,,1.00,UNCHECKED,UNREVIEWED,,0,4153955,Black color,Meas Value,MAPS_TO,,<auto>,1751446426376,
1681,Silver Nitrate,0,,1.00,UNCHECKED,UNREVIEWED,,0,966913,silver nitrate,Drug,MAPS_TO,,<auto>,1751446425683,
679,Equivalent composition substitution,0,,0.60,UNCHECKED,UNREVIEWED,,0,9489,equivalent,Unit,MAPS_TO,,<auto>,1751446441170,
750,Epigastric pain,0,,1.00,UNCHECKED,UNREVIEWED,,0,197381,Epigastric pain,Condition,MAPS_TO,,<auto>,1751446464644,
1512,Simethicone,0,,1.00,UNCHECKED,UNREVIEWED,,0,966991,simethicone,Drug,MAPS_TO,,<auto>,1751446426125,
735,Currently pregnant,0,,1.00,UNCHECKED,UNREVIEWED,,0,45884583,Currently pregnant,Meas Value,MAPS_TO,,<auto>,1751446469538,
1454,"Peanut, Sugar, Vegetable oil, Milk, Vitamins, minerals",0,,0.41,UNCHECKED,UNREVIEWED,,0,4132482,Vegetable oil,Observation,MAPS_TO,,<auto>,1751446426346,
1546,Amiodarone,0,,1.00,UNCHECKED,UNREVIEWED,,0,1309944,amiodarone,Drug,MAPS_TO,,<auto>,1751446481987,
825,Nausea,0,,1.00,UNCHECKED,UNREVIEWED,,0,45882288,Nausea,Meas Value,MAPS_TO,,<auto>,1751446426352,
1351,Medroxyprogesterone,0,,1.00,UNCHECKED,UNREVIEWED,,0,1500211,medroxyprogesterone,Drug,MAPS_TO,,<auto>,1751446426611,
1746,Traumatic Amputation of Finger(s) (S68.1),0,,0.48,UNCHECKED,UNREVIEWED,,0,4319151,Traumatic amputation of finger,Condition,MAPS_TO,,<auto>,1751446427284,
1278,Chlordiazepoxide,0,,1.00,UNCHECKED,UNREVIEWED,,0,990678,chlordiazepoxide,Drug,MAPS_TO,,<auto>,1751446465038,
78,Creatine,0,,1.00,UNCHECKED,UNREVIEWED,,0,19071967,creatine,Drug,MAPS_TO,,<auto>,1751446469880,
287,Billed,0,,0.63,UNCHECKED,UNREVIEWED,,0,42538188,Killed,Observation,MAPS_TO,,<auto>,1751446465390,
1093,Disorder of Eyelid,0,,1.00,UNCHECKED,UNREVIEWED,,0,376125,Disorder of eyelid,Condition,MAPS_TO,,<auto>,1751446441964,
579,Allergy to Insect Bites,0,,0.70,UNCHECKED,UNREVIEWED,,0,3661861,Allergic reaction to insect bite,Condition,MAPS_TO,,<auto>,1751446427428,
509,Strawberries,0,,1.00,UNCHECKED,UNREVIEWED,,0,4008942,Strawberry,Observation,MAPS_TO,,<auto>,1751446427207,
143,Granular casts presence in urine sediment by light microscopy test,0,,0.87,UNCHECKED,UNREVIEWED,,0,3001873,Granular casts [Presence] in Urine sediment by Light microscopy,Measurement,MAPS_TO,,<auto>,1751446467260,
1489,Tiotropium powder,0,,0.80,UNCHECKED,UNREVIEWED,,0,1356250,tiotropium Inhalation Powder,Drug,MAPS_TO,,<auto>,1751446427963,
160,Urine appears turbid,0,,0.62,UNCHECKED,UNREVIEWED,,0,4143063,Urine appearance,Measurement,MAPS_TO,,<auto>,1751446427192,
1531,Thiopental,0,,1.00,UNCHECKED,UNREVIEWED,,0,700253,thiopental,Drug,MAPS_TO,,<auto>,1751446465857,
1757,Axillary Block,0,,0.74,UNCHECKED,UNREVIEWED,,0,4334894,Local anesthetic maxillary nerve block,Procedure,MAPS_TO,,<auto>,1751446427949,
834,Estimated date of confinement,0,,1.00,UNCHECKED,UNREVIEWED,,0,4059478,Estimated date of delivery,Measurement,MAPS_TO,,<auto>,1751446427306,
276,Billable service,0,,0.58,UNCHECKED,UNREVIEWED,,0,4149155,"Ear, nose and throat service",Observation,MAPS_TO,,<auto>,1751446442645,
508,Reference application common drug allergens,0,,0.44,UNCHECKED,UNREVIEWED,,0,37173830,Assistance with application for prescription medication assistance program,Observation,MAPS_TO,,<auto>,1751446504198,
1348,Losartan,0,,1.00,UNCHECKED,UNREVIEWED,,0,1367500,losartan,Drug,MAPS_TO,,<auto>,1751446427606,
1039,Maternal and child health program,0,,0.69,UNCHECKED,UNREVIEWED,,0,4331898,Child health procedures,Observation,MAPS_TO,,<auto>,1751446427749,
485,Tablet,0,,1.00,UNCHECKED,UNREVIEWED,,0,46237517,Tablet,Meas Value,MAPS_TO,,<auto>,1751446427903,
857,Abdominal mass,0,,1.00,UNCHECKED,UNREVIEWED,,0,192438,Abdominal mass,Condition,MAPS_TO,,<auto>,1751446466410,
840,Inpatient care or hospitalization,0,,0.75,UNCHECKED,UNREVIEWED,,0,46237830,Inpatient hospital,Meas Value,MAPS_TO,,<auto>,1751446483400,
926,Retention of urine,0,,1.00,UNCHECKED,UNREVIEWED,,0,192450,Retention of urine,Condition,MAPS_TO,,<auto>,1751446428250,
337,Influenza,0,,1.00,UNCHECKED,UNREVIEWED,,0,4266367,Influenza,Condition,MAPS_TO,,<auto>,1751446427985,
1745,Triplet Pregnancy (O30.1),0,,0.55,UNCHECKED,UNREVIEWED,,0,432375,Triplet pregnancy,Condition,MAPS_TO,,<auto>,1751446428565,
65,Tests Orderability,0,,0.42,UNCHECKED,UNREVIEWED,,0,3043510,Alterability of resists care [Minimum Data Set],Observation,MAPS_TO,,<auto>,1751446427996,
