sourceCode,sourceName,frequency
250,HIV Test,0
1596,Povidone iodine,0
563,Erythromycins,0
733,Cocaine abuse,0
1263,Benzoic & Salicylic Acid,0
267,Credit card,0
1515,"Acetaminophen,Pseudo-ephedrine,Dextrometorphan,Chlorpheniramine",0
853,Oral sores,0
163,Urine turbidity,0
248,Hematology,0
409,Syphilitic Cirrhosis,0
1144,Acute Hepatitis,0
1437,Amoxicillin & Clauvulanate,0
1012,Preventing Mother to Child Transmission Visit,0
1690,Nystatin & Zinc Oxide,0
894,Had sex without condom,0
1357,"Metronidazole, Chlorhexidine, Lignocaine & Menthol",0
515,Adhesive tape,0
981,Swelling of Inguinal Region,0
1182,Infiltrate,0
849,Female sterilization,0
1612,Didanosine (DDI),0
453,Patch,0
751,Excessive Sweating,0
1279,Chlorhexidine Gluconate,0
288,Not billable,0
1532,Bupivacaine spinal heavy,0
866,Nostril flaring,0
735,Currently pregnant,0
78,Creatine,0
654,Medication dispense status reason,0
539,Mental status change,0
1171,Bronchial Breathing,0
1453,Tramadol & Acetaminophen,0
1037,Primary,0
336,Visceral leishmaniasis,0
964,Patient-generated history: Family history section text,0
1373,Oxymetazoline,0
643,Waiting,0
1065,Visual disturbance,0
1212,"Polio vaccination, oral",0
1628,Polio Vaccine-Inactivated Vaccine (IPV),0
469,Bar,0
779,Hypertensive Retinopathy,0
1295,Cycloserine,0
310,Diabetes clinic,0
1548,Isosorbide dinitrate,0
967,Stop all,0
817,Delayed milestones,0
721,Norplant (implantable contraceptive),0
24,Not detected,0
556,Allergy to Spiders,0
1726,Fracture of great toe (S92.4),0
1469,Fexofenadine,0
1230,Patient Identification Photo,0
354,Hip Pain,0
1095,"Review of systems, developmental",0
1389,Primaquine,0
668,Order discontinued,0
1083,Chest pain,0
1197,"X-ray of right hip, two views",0
1001,Axillary lymph node(s) level 3,0
1644,Enoxaparin,0
803,Loss of Appetite,0
1311,Etophylline & Theophylline,0
328,Unit of currency,0
1564,Dextran,0
606,Every eight hours,0
910,Problem list,0
1231,Ciprofloxacin,0
127,Present,0
576,allergy to ertapenem,0
1754,General,0
43,VDRL,0
577,Dander (Animal) Allergy,0
1755,Monitored Anesthesia Care,0
1743,Tuberculosis of bones and joints (A18.0),0
1486,Propranolol hydrochloride,0
1784,Tested for COVID 19,0
376,Acute respiratory disease due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),0
1406,Spironolactone,0
689,Example Option 3,0
1102,Fetal Distress,0
322,"Patient-side expenses, items",0
1661,Noradrenaline,0
425,Dose pack,0
875,Numbness of Foot,0
1328,Haloperidol,0
951,Serious adverse event,0
1581,Brimonidine & timolol,0
623,"Once daily, in the evening",0
1248,Amitriptyline,0
221,Normal,0
1785,Respiratory PCR,0
95,B negative,0
1502,Dypirone,0
392,Acute Cholecystitis,0
1119,Smoker,0
1422,Vitamin K,0
911,Some,0
1675,Vitamins A and D,0
712,Subjective Findings,0
478,Subcutaneous,0
895,Periorbital Cellulitis,0
1344,Levonorgestrel & Ethinylestradiol,0
1056,In the past,0
252,Malarial smear,0
1597,Silver sulfadiazine,0
564,Statins,0
734,Coma,0
1264,Benzoyl Peroxide,0
268,Cash,0
114,Urine protein (dip stick),0
1516,Vitamin C,0
957,Intense fatigue and general weakness,0
212,Moderate,0
249,Billable Services Set,0
410,Asthma,0
1145,Urinary tract infection,0
1438,Cefuroxime,0
1013,Kaposi Sarcoma Visit,0
1691,Multivitamin & Iron,0
896,Has regular sex partner,0
1358,Midazolam,0
516,Ragweed,0
982,Swelling of Skin,0
1183,Evidence of cardiac enlargement,0
928,Referral for pregnancy termination,0
1613,Efavirenz (ENV or EFZ),0
454,Pad,0
752,Excessive Tear Production,0
1280,Chloroquine,0
289,Billable,0
139,Waxy casts presence in urine sediment by light microscopy test,0
1533,Lidocaine & Epinephrine,0
1123,History of pneumonia,0
738,Date of last menstrual period,0
82,Calcium sulfate,0
669,SubstanceAdminSubstitutionReason,0
540,Anaemia,0
1172,Burning Pain,0
1454,"Peanut, Sugar, Vegetable oil, Milk, Vitamins, minerals",0
1039,Maternal and child health program,0
337,Influenza,0
965,Patient-generated history: Social history section text,0
1374,Oxytocin,0
645,Triage,0
1066,Deceased,0
1702,Karnofsky performance score,0
1213,Hepatitis B vaccination,0
1629,Measles Rubella Vaccine (MR),0
470,Ampule(s),0
780,Hypertrophy of Tonsils,0
1296,Dexamethasone,0
311,"Data entry error, deleted",0
1549,Hydralazine,0
969,Change regimen,0
831,"Edema, legs",0
722,Implantable contraceptive (unspecified type),0
25,Detected,0
557,Allergy to Seafood,0
1727,Stromal tumor of digestive system (D48.1),0
1470,Guaifenesin,0
1704,On time,0
360,Peptic Ulcer of Stomach,0
1148,History of HIV test,0
1390,Prochlorperazine Maleate,0
670,Regulatory requirement,0
1084,Chronic Hepatitis,0
1198,"X-ray of left hip, two views",0
1002,Axillary lymph node(s) level 2,0
1645,Ephedrine,0
804,Loss of consciousness,0
1312,Finasteride,0
1565,Gelofusine,0
607,Every six hours,0
910,org.openmrs.module.emrapi:Coded Diagnosis,0
1232,Paracetamol,0
128,Absent,0
1233,Streptomycin,0
164,Brown color,0
578,Allergy to penicillin,0
1756,Knee Block,0
1744,Tuberculoid Leprosy (Type T) (A30.1),0
1487,Saline flush,0
1788,Test Done,0
377,Disease due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),0
1407,Sulfamethoxazole & Trimethoprim,0
690,Example Option 2,0
1103,Poor Fetal Growth,0
356,Imaging contrast type,0
1662,Parenteral nutrition (peripheral at least),0
426,Cartridge,0
876,Numbness of Hand,0
1329,Hydrocortisone,0
954,Problem severity,0
1582,Dorzolamine & timolol,0
624,"Once daily, at bedtime",0
1249,Amlodipine & Atenolol,0
222,None,0
1786,Rapid blood test,0
96,B positive,0
1503,Ergotamine,0
393,Hypothyroidism,0
1120,Narcotic abuse,0
1423,Warfarin,0
917,New visit,0
1676,Voltaren,0
713,Assessment,0
479,Intramuscular,0
898,Pitting Edema,0
1345,Levothyroxine,0
1059,Diagnosis certainty,0
925,Rapid test for HIV,0
1598,Benzathine penicillin,0
567,Sulfonamides,0
736,Crying Infant,0
1265,Betamethasone,0
270,Euro,0
1517,Amino Acids and Vitamins,0
1125,Abdominal pain,0
314,Active status,0
286,Billing status set,0
411,Malignant neoplasm of cervix uteri,0
1146,Vertigo,0
1439,Atovaquone & Proquanil,0
1014,Early Infant Diagnosis Visit,0
1692,Pentoxifylline,0
897,HIV self-test performed,0
1359,Mifepristone & Misoprostol,0
517,Pollen,0
983,Swollen Feet,0
1192,Miliary changes,0
972,Counseling about infant feeding practices,0
1614,Efavirenz & Lamivudine & Tenofovir,0
455,Nebulizer,0
753,Exophthalmos,0
1281,Chlorpheniramine,0
290,Planned,0
140,WBC casts presence in urine sediment by light microscopy test,0
1534,Diphenidramine,0
1175,Irritability,0
755,Dosing change,0
83,Calcium phosphate,0
672,ActSubstanceAdminSubstitutionCode,0
542,calcium channel blocker allergy,0
1173,Cannabis Abuse,0
1455,Cyclobenzaprine,0
1044,Medical record observations,0
338,Meningitis,0
966,Test name,0
1375,P Dextrose And Electrolyte Solution,0
647,Not Urgent,0
1067,Visual Field Scotoma,0
1214,Diphtheria tetanus and pertussis vaccination,0
1630,Pentavalent Vaccine (Penta),0
472,Milliliter,0
781,Hyperuricaemia,0
1297,Dextrose,0
312,Entered in error report status,0
1550,Methyldopa,0
970,Change formulation,0
833,CARDIAC MURMUR (on exam),0
724,Pyrimethamine / sulfadoxine,0
29,Medium,0
558,Personal History of Allergy to Sulfonamides,0
1728,Fracture of Base of Skull (S02.1),0
1471,Aclidinium Bromide,0
1705,Late,0
361,Peptic Ulcer with Perforation,0
1156,"Review of systems, central nervous system",0
1391,Promethazine,0
671,Formulary policy,0
1086,Conjunctivitis,0
52,Trinity Biotech Trinscreen HIV test kit,0
1003,Axillary lymph node(s) level 1,0
1646,Esmolol,0
806,Lower Respiratory Tract Infection,0
1313,Fluconazole,0
1566,Calcium chloride,0
608,Every five hours,0
912,Breathing poorly (<30 breaths / min),0
1234,Isoniazid,0
165,Black color,0
579,Allergy to Insect Bites,0
1757,Axillary Block,0
1745,Triplet Pregnancy (O30.1),0
1488,Sulfacetamide,0
1789,Test Results,0
378,Suspected severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection,0
1408,Tetanus Antitoxin,0
691,Example Option 1,0
1104,Genital herpes,0
357,Imaging sequence(s),0
1663,Petroleum,0
427,Box,0
877,Oliguria,0
1330,Hydrogen Peroxide,0
956,Unexplained bleeding,0
231,Eosinophils,0
1583,Pilocarpine,0
625,Once daily,0
593,History of Allergy,0
1250,Amoxicillin,0
223,bloody,0
1787,ELISA blood test,0
97,A negative,0
1504,Ferrous Folate,0
395,Kaposi's sarcoma of skin,0
1121,Opioid abuse,0
1424,Zinc Sulphate,0
918,Surgical Outpatient Department,0
1677,Someticone,0
714,Plan,0
480,Intravenous,0
903,Polyuria,0
1346,Lignocaine,0
1085,Confusion,0
1599,Benzyl penicillin,0
440,Biscuit wafer,0
737,Cyanosis,0
1266,Bupivacaine Hydrochloride,0
271,Ugandan shilling,0
1518,"Levonorgestrel, Ethinylestradiol",0
503,Rash,0
352,Radiology results,0
10,Lisinopril,0
291,Charge item status set,0
412,Pneumonia,0
1147,Abnormal Pupillary Function,0
1440,Fluticasone & Salmeterol,0
1015,Pre-ART Visit,0
1693,Podophillin,0
913,HIV test date,0
1360,Miltefosine,0
518,Mold,0
985,Tachypnea,0
1206,Immunization history,0
973,Therapeutic feeding,0
1615,Lamivudine (3TC),0
456,Million units,0
754,Fatigue,0
1282,Chlorpromazine,0
296,TB/HIV clinic,0
1535,Complex B,0
1176,Weight gain,0
757,Pruritus,0
87,Ascorbic acid,0
683,Medication dispense status,0
543,allergy to sufentanil,0
1174,Cellulitis of Head,0
1456,Permethrin,0
1048,Pit latrine without slab,0
339,Mycetoma,0
978,Antiretroviral plan,0
1376,Pantoprazole,0
648,Urgent,0
1069,Vomiting,0
1771,"Rash, nonvesicular, unspec.",0
1215,Yellow fever vaccination,0
1631,Rotavirus Vaccine (Rota),0
473,Liter,0
782,Hypospadias,0
1298,Dextrose & Normal Saline (DNS),0
313,Laboratory orders,0
1551,Labetalol,0
971,Continue regimen,0
838,Adherence counseling,0
725,Heparinoids / salicylic acid,0
30,Very low,0
559,Anaphylaxis,0
1729,Cerebrovascular Accident (I64),0
1472,Amoxicillin & Clauvulanic Acid,0
1706,Early,0
362,Ulcer,0
1157,"Review of systems, musculoskeletal",0
1392,Promethazine Hydrochloride (HCl),0
673,Formulary substitution,0
1087,Convalescence,0
53,One Step HIV 1/2 testing kit,0
3,ATT DEFAULT ATTACHMENT,0
1647,Etomidate,0
329,Antenatal services,0
807,Lymphadenopathy,0
1314,Fluoxetine,0
1567,Sodium bicarbonate,0
609,Every four hours,0
920,Swelling,0
921,Quadriceps muscle wasting,0
1235,Rifampicin,0
191,Yellow color,0
580,Contrast Media Allergy,0
1758,Interscalene Block,0
1746,Traumatic Amputation of Finger(s) (S68.1),0
1489,Tiotropium powder,0
379,Pneumonia due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),0
1409,Tetanus Immunoglobulin,0
692,multiCheckbox,0
1105,Hearing Loss,0
358,Contrast imaging phase,0
1664,Propafenone,0
428,Bag,0
880,Orbital Oedema,0
1331,Hyoscine Butylbromide,0
962,Contraception method undecided,0
1584,Cyclopentolate,0
626,Twice daily with meals,0
594,Photoallergy,0
1251,Amoxicillin & Clavulanate,0
224,Unknown,0
1791,Session Name,0
98,A positive,0
1505,Fungobacter,0
397,Infection due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),0
1122,"Localized Swelling, Mass and Lump, Multiple Sites",0
1425,Methimazole,0
927,Health center hospital,0
1678,Primoquine,0
723,Current drugs used,0
481,Inhalation,0
904,Chronic obstructive pulmonary disease,0
1347,Lignocaine & Adrenaline,0
1111,Daily cigarette use,0
1189,12-lead electrocardiogram,0
1600,Benzyl penicillin Procaine,0
441,Vial,0
739,Dehydration,0
1267,Caffeine Citrate,0
272,Tanzanian shilling,0
1519,Levonorgestrel,0
811,Memory problems,0
359,Procedure date/time,0
11,Levothyroxine sodium,0
355,Imaging procedure history,0
493,Cough,0
1149,Acquired immunodeficiency syndrome,0
1441,Budesonide & Formoterol,0
1016,Antiretroviral Treatment Visit,0
79,Infection by Ascaris Lumbricoides,0
915,Reason for referral (text),0
1361,Mirtazapine,0
519,Latex,0
990,Testicular Mass,0
1207,Vaccine lot number,0
974,Micronutrient support,0
1616,Lamivudine & Tenofovir,0
457,Microgram,0
762,Elevated blood pressure,0
1283,Clarithromycine,0
298,Sexual/reproductive health service,0
142,Fatty casts presence in urine sediment by light microscopy test,0
1536,"Complex B (B1, B6, B12)",0
1178,Hematuria,0
758,Eye discharge,0
90,"Albumin, human",0
703,Inpatient disposition construct,0
544,allergy to sevoflurane,0
1177,Muscle pain,0
1457,Miconozole,0
1049,Pit latrine with slab,0
340,African Trypanosomiasis,0
993,Date of event,0
1377,Paracetamol & Codeine Phosphate,0
649,Emergency,0
1070,Sore throat,0
1772,Congestion,0
1216,Tetanus booster,0
1632,Diphtheria Tetanus Vaccine (DT),0
474,Gram,0
784,Increased Frequency of Urination,0
1299,Diazepam,0
315,Observation ward,0
1552,Nicardipine,0
977,Start drugs,0
852,Pallor,0
726,Heparinoids / hyaluronidase,0
33,Mycobacterium tuberculosis detected with indeterminate rifampin resistance,0
560,Angioedema,0
1730,Vitiligo (L80),0
1473,Atovaquone & Proquanil hydrochloride,0
1708,Prevention of Maternal to Child HIV transmissio,0
363,Upper Gastrointestinal Hemorrhage,0
1158,"Review of systems, genitourinary",0
1393,Propofol,0
674,Therapeutic generic substitution,0
1088,Delirium,0
56,Premier First Response(R) test kit,0
4,ATT IMAGE ATTACHMENT,0
1648,Fenofibrate,0
330,No,0
808,Lymphogranuloma venereum,0
1315,Folic Acid,0
1568,Aluminum & Magnesium hydroxide & Simethicone,0
610,Every three hours,0
1569,Bisacodyl,0
611,Every two hours,0
931,Unknown if ever smoked,0
1236,Ethambutol,0
192,Green color,0
581,Allergy to Peanuts,0
1759,Intravenous Block,0
1747,Amputation of arm (T11.6),0
1490,Triple antibiotic,0
380,Paratyphoid Fever,0
1410,Tetracycline Ophtalmic,0
693,date,0
415,Duration units,0
1665,Glycerin,0
430,Rectally,0
881,Pain in Eye,0
1332,Ibuprofen,0
987,Skin examination (text),0
1585,Propacaine,0
627,Twice daily after meals,0
595,Hymenoptera Allergy,0
1252,Amoxicillin & Clavulanic Acid,0
253,Years,0
88,Urobilinogen,0
1792,Session Date,0
101,Negative,0
1506,Glibenclamide,0
398,AIDS with Kaposi's sarcoma,0
1124,Pain,0
1426,Multi-Vitamin Adult,0
938,Quartenary,0
1679,Dyphenhydramine,0
756,Currently using birth control,0
482,Oral,0
909,Problem,0
1126,Abdominal distension,0
254,Intermittent preventive treatment in pregnancy with sulphadoxine-pyrimethamine,0
1601,Cefalexin,0
442,Unit,0
740,Diabetic foot ulcer,0
1268,Calamine,0
273,Nigerian naira,0
1520,Medroxyprojesterone acetate,0
815,Poor appetite,0
491,Severe,0
12,Hydrochlorothiazide,0
421,Dispensing units,0
494,Diarrhea,0
1150,Alcoholic Hepatitis,0
1442,Fluticasone Furoate & Vilanterol,0
1017,"Follow-up visit, regular",0
81,Infection due to Entamoeba Histolytica,0
916,Visit type,0
1362,Misoprostol,0
520,Dust,0
992,Papular pruritic eruption,0
1208,Vaccine manufacturer,0
975,Food support,0
1617,Lopinavir & Ritonavir (LPV/r),0
458,Milliequivalent,0
763,Finger Clubbing,0
1284,Clobazam,0
299,Triage service,0
143,Granular casts presence in urine sediment by light microscopy test,0
1537,Multivitamin,0
260,Nutrition counseling,0
759,Otorrhea,0
251,Tetanus toxoid,0
775,Congenital disorders,0
545,allergy to remifentanil,0
1191,Pleural effusion,0
1458,Tolnoftate,0
1050,Ventilated improved pit latrine with slab,0
341,Helminthiasis,0
996,Family planning status,0
1378,Paracetamol Paediatric,0
651,Patient currently unavailable,0
1072,Wheeze - rhonchi,0
1773,Shortness of breath,0
1218,Measles vaccination,0
1633,Diphtheria Tetanus Pertusis Vaccine (DTP),0
475,Milligram,0
789,Influenza-like symptoms,0
1300,Diclofenac,0
316,Neonatal service,0
1553,Sprironolactone,0
984,Referral for opportunistic infection treatment,0
855,Pale conjunctiva,0
1202,Vitamin A,0
35,Invalid,0
561,Hives,0
1731,"Extreme prematurity, < 28 weeks gestation (P07.2)",0
1474,Captopril,0
364,Diabetes mellitus,0
1159,"Review of systems, gastrointestinal",0
1394,Propranolol,0
675,Therapeutic brand substitution,0
1089,Dental caries,0
57,Abbott Determine(R) test kit,0
1649,Fer elementaire & Acide folique,0
331,Yes,0
809,Problem resolved,0
1316,Frusemide,0
1317,Frusemide & Amiloride,0
1570,Sodium phosphate (Fleet's),0
612,Every hour,0
932,Current every day smoker,0
1237,Calcium,0
196,gram-negative cocci,0
582,"Allergy, Unspecified",0
1760,Local Anesthesia and Sedation,0
1748,Transitory tachypnea of newborn (P22.1),0
1491,Eye glasses,0
381,Gastroesophageal reflux disease,0
1411,Tinidazole,0
694,select,0
489,Severity of adverse reaction,0
1666,Bupivacaine,0
431,Vaginally,0
882,Pain in pelvis,0
1333,Ibuprofen & Paracetamol,0
988,Abdominal lymph node examination (text),0
1586,Phenylephrine,0
628,Twice daily before meals,0
596,Personal History of Allergy to Shellfish,0
1253,Amoxicillin & Cloxacillin,0
255,Months,0
1793,Practitioner,0
105,Two plus,0
1507,Griseofulvine,0
399,Malaria,0
1127,Ptosis of Eyelid,0
1427,Multi-Vitamin Children,0
941,In remission,0
1680,Eucalyptus & Diphenhydramine & Phenylephrine,0
800,Requests family planning information,0
484,Packets,0
919,Red eye,0
1134,Musculoskeletal exam findings,0
351,Name of Procedure performed,0
1602,Cefotaxime,0
443,Tube,0
741,Diabetic retinopathy,0
1269,Calcium Gluconate,0
274,Kenyan shilling,0
1521,"Rifampicine, Isoniazide, Ethambutol, pyrazinamide",0
818,Abdominal swelling,0
492,Mild,0
13,Famotidine,0
429,Routes of administration,0
495,Drug allergy,0
1151,Amenorrhea,0
1443,Tiotropium,0
1018,Emergency Visit,0
117,Mucus in Stool,0
929,Referrals ordered,0
1363,Naloxone,0
521,Bee stings,0
1020,Toothache,0
1209,Immunization sequence number,0
1042,Hysterectomy,0
1618,Nevirapine (NVP),0
459,Lozenge,0
764,Flank Pain,0
1285,Clobetasol Propionate,0
300,Clinical consultation,0
1538,Multivitamin & Lysine,0
727,Diagnostic testing and counseling for HIV,0
760,Chills,0
258,Folate / iron,0
785,Mental disorders,0
546,allergy to meropenem,0
1716,Mild persistent asthma (J45.9),0
1459,Lidocaine,0
1051,Flush toilet,0
342,Schistosomiasis,0
998,Reaction (to an allergen),0
1379,Paradichloro Benzene,0
655,Washout period,0
1073,Xanthelasma of Eyelid,0
1774,Onset Date,0
1222,Administration of booster severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccine,0
1634,Pneumococcal Vaccine (PCV13),0
483,Suppository,0
792,Inspiratory Stridor,0
1301,Dicyclomine,0
317,General medicine service,0
1554,Nifedepine SR,0
